[I 2024-01-24 01:22:00,827] Trial 46 finished with value: 0.3039788603782654 and parameters: {'embedding_dim': 392, 'lstm_units': 140, 'dropout_rate': 0.25, 'l2_reg': 1.497584514019376e-06, 'batch_size': 64, 'patience_for_early_stopping': 8}. Best is trial 31 with value: 0.3003239929676056.
[I 2024-01-24 01:22:45,949] Trial 47 finished with value: 0.31410935521125793 and parameters: {'embedding_dim': 348, 'lstm_units': 146, 'dropout_rate': 0.25, 'l2_reg': 1.02810347240622e-06, 'batch_size': 64, 'patience_for_early_stopping': 9}. Best is trial 31 with value: 0.3003239929676056.
[I 2024-01-24 01:24:31,768] Trial 48 finished with value: 0.29806146025657654 and parameters: {'embedding_dim': 368, 'lstm_units': 177, 'dropout_rate': 0.25, 'l2_reg': 1.4801368226402669e-06, 'batch_size': 16, 'patience_for_early_stopping': 8}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:25:39,491] Trial 49 finished with value: 0.3077060282230377 and parameters: {'embedding_dim': 299, 'lstm_units': 198, 'dropout_rate': 0.25, 'l2_reg': 1.6182340529391157e-06, 'batch_size': 32, 'patience_for_early_stopping': 8}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:26:09,569] Trial 50 finished with value: 0.30279740691185 and parameters: {'embedding_dim': 371, 'lstm_units': 183, 'dropout_rate': 0.25, 'l2_reg': 1.9576230051506266e-06, 'batch_size': 128, 'patience_for_early_stopping': 8}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:26:38,948] Trial 51 finished with value: 0.3139069378376007 and parameters: {'embedding_dim': 371, 'lstm_units': 187, 'dropout_rate': 0.25, 'l2_reg': 1.9044716124472913e-06, 'batch_size': 128, 'patience_for_early_stopping': 8}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:27:16,568] Trial 52 finished with value: 0.32031622529029846 and parameters: {'embedding_dim': 334, 'lstm_units': 213, 'dropout_rate': 0.25, 'l2_reg': 1.3935518379245218e-06, 'batch_size': 128, 'patience_for_early_stopping': 8}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:27:47,355] Trial 53 finished with value: 0.30675557255744934 and parameters: {'embedding_dim': 393, 'lstm_units': 174, 'dropout_rate': 0.25, 'l2_reg': 3.212775822827798e-06, 'batch_size': 128, 'patience_for_early_stopping': 8}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:28:15,028] Trial 54 finished with value: 0.30886003375053406 and parameters: {'embedding_dim': 442, 'lstm_units': 213, 'dropout_rate': 0.25, 'l2_reg': 6.9209533205753865e-06, 'batch_size': 128, 'patience_for_early_stopping': 6}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:30:09,423] Trial 55 finished with value: 0.3034422695636749 and parameters: {'embedding_dim': 364, 'lstm_units': 187, 'dropout_rate': 0.25, 'l2_reg': 1.017274310461867e-06, 'batch_size': 16, 'patience_for_early_stopping': 7}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:30:55,256] Trial 56 finished with value: 0.30419525504112244 and parameters: {'embedding_dim': 365, 'lstm_units': 184, 'dropout_rate': 0.25, 'l2_reg': 1.020010912680765e-06, 'batch_size': 64, 'patience_for_early_stopping': 7}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:32:30,195] Trial 57 finished with value: 0.3156172037124634 and parameters: {'embedding_dim': 275, 'lstm_units': 173, 'dropout_rate': 0.25, 'l2_reg': 2.2373422246182998e-06, 'batch_size': 16, 'patience_for_early_stopping': 7}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:32:59,550] Trial 58 finished with value: 0.30933186411857605 and parameters: {'embedding_dim': 340, 'lstm_units': 208, 'dropout_rate': 0.25, 'l2_reg': 1.3561690622984174e-06, 'batch_size': 128, 'patience_for_early_stopping': 7}. Best is trial 48 with value: 0.29806146025657654.
[I 2024-01-24 01:34:39,166] Trial 59 finished with value: 0.31874528527259827 and parameters: {'embedding_dim': 302, 'lstm_units': 167, 'dropout_rate': 0.5, 'l2_reg': 5.4521708003309375e-06, 'batch_size': 16, 'patience_for_early_stopping': 6}. Best is trial 48 with value: 0.29806146025657654.
